x,y,z,r,g,b,size,mag,dist_pc,name
30.562445436063353,-25.181064082505266,14.265773980694739,1.0,0.9111577224731445,0.7339995908737182,0.6449733,8.9522915,42.09110792825313,
39.336970528005615,-23.847568582401067,19.58464813520828,1.0,0.7503453572591146,0.48982828140258794,0.22266613,11.261729,49.99662208783131,
31.50236524010036,-1.6193667410975636,33.9244195342579,1.0,0.8791463216145833,0.6588795471191407,0.49169478,9.541522,46.32372615732887,
18.600086641726726,-9.633678058549018,19.128836668256955,1.0,0.6526787996292114,0.4103992938995361,0.1808909,11.712916,28.366941468835897,
28.513540663475755,-14.715423501532033,31.30118041317427,1.0,0.678009017308553,0.4252994219462077,0.16295117,11.939713,44.82554612333475,
15.641037966143282,-13.005815310072865,17.278083713931526,0.9944052410125732,0.9618649196624756,0.8779737949371338,2.2412956,6.247504,26.68942632136718,
13.635759940362034,-9.120044557825903,15.998968545873659,1.0,0.6664373715718588,0.41849257151285807,0.314222,10.513817,22.914540283840882,
27.999497259018742,-18.713561756130247,35.552633449579204,0.9975731563568115,0.9608089478810627,0.8621342182159424,0.88974446,8.253674,48.971001475959596,
18.790563155424834,-6.859483597119528,22.01175330509782,1.0,0.9024565887451171,0.7133343982696534,0.7880393,8.517261,29.743151522352942,
23.113441462132965,-12.04928768346595,34.07684692257021,1.0,0.8922616195678711,0.6891213464736938,0.5416711,9.331322,42.902773874035866,
3.109371997698987,-25.621201489586785,31.054591754111836,1.0,0.7830235799153645,0.532718448638916,0.3781836,10.111486,40.37947286684943,
7.298152779179957,-14.984693290029721,22.923883627300025,1.0,0.7787452697753906,0.5271031665802002,0.47398463,9.621179,28.3426976052476,
10.731623007431795,-24.06627114839553,41.39968478281952,1.0,0.894664306640625,0.6948277282714843,0.50060534,9.502522,49.0743012123306,
0.3301139821486718,-1.7499128120454932,3.0399235218994733,1.0,0.6263501644134521,0.3949118614196777,1.0693537,7.854393,3.5231101472943926,
14.607264743627482,-20.799442641299894,32.80397149593358,1.0,0.8239250183105469,0.5864015865325928,0.47333583,9.624153,41.498066742743205,
18.094354508915824,-7.0032554664029005,40.46243068994799,1.0,0.9106003952026367,0.7326759386062622,0.5970846,9.119821,44.87381808539217,
